City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,soledade,-28.8183,-52.5103,18.96,67,0,1.01,BR,1674552963
178,tyukalinsk,55.8732,72.1967,-10.31,93,62,4.62,RU,1674552964
179,mejorada del campo,40.3928,-3.4819,3.61,70,75,2.06,ES,1674552965
180,wajima,37.4,136.9,-5.62,100,100,5.66,JP,1674552965
181,georgetown,5.4112,100.3354,27.97,79,20,3.6,MY,1674552841
182,isfana,39.8386,69.5306,-5.69,78,10,1.82,KG,1674552966
183,cairns,-16.9167,145.7667,27.81,85,75,2.57,AU,1674552967
184,port elizabeth,-33.918,25.5701,23.39,76,75,9.77,ZA,1674552968
185,victoria,22.2855,114.1577,16.81,41,11,6.71,HK,1674552844
186,laguna,38.421,-121.4238,6.71,89,0,2.06,US,1674552970
187,surin,14.8818,103.4936,27.21,46,10,10.3,TH,1674552971
188,hithadhoo,-0.6,73.0833,27.3,75,84,6.29,MV,1674552972
189,kalemie,-5.9475,29.1947,25.83,71,95,1.34,CD,1674552973
190,kitimat,54.0524,-128.6534,4.39,28,100,1.56,CA,1674552973
191,coromandel,-18.4733,-47.2003,18.49,94,91,1.17,BR,1674552974
192,bourail,-21.5667,165.4833,25.84,89,24,1.24,NC,1674552975
193,sao filipe,14.8961,-24.4956,21.08,65,6,2.8,CV,1674552975
194,karlskoga,59.3267,14.5239,2.62,98,100,4.58,SE,1674552976
195,carnarvon,-24.8667,113.6333,26.34,72,3,10.71,AU,1674552520
196,kasempa,-13.4584,25.8338,22.6,73,100,5.53,ZM,1674552978
197,vieux-habitants,16.0589,-61.7659,22.06,76,71,3.86,GP,1674552979
198,cabinda,-5.55,12.2,26.08,83,75,3.09,AO,1674552980
199,codrington,-38.2667,141.9667,15.81,87,14,3.5,AU,1674552980
200,padang,-0.9492,100.3543,29.03,86,100,2.65,ID,1674552687
201,hambantota,6.1241,81.1185,27.19,89,75,1.54,LK,1674552982
202,ostrovnoy,68.0531,39.5131,-3.63,87,96,9.24,RU,1674552982
203,semey,50.4111,80.2275,-7.88,86,100,3.0,KZ,1674552983
204,cacapava do sul,-30.5122,-53.4914,18.43,81,1,1.11,BR,1674552984
205,cabo san lucas,22.8909,-109.9124,16.95,75,93,2.9,MX,1674552858
206,asfi,32.2994,-9.2372,12.84,57,0,6.52,MA,1674552985
207,verkhoyansk,67.5447,133.385,-44.18,100,95,1.13,RU,1674552986
208,tuatapere,-46.1333,167.6833,9.51,85,2,1.07,NZ,1674552987
209,seoul,37.5683,126.9778,-13.34,45,0,6.69,KR,1674552907
210,iqaluit,63.7506,-68.5145,-26.15,76,75,5.14,CA,1674552988
211,saint anthony,45.0205,-93.218,-3.04,88,0,4.12,US,1674552989
212,berlevag,70.8578,29.0864,1.0,86,20,18.52,NO,1674552989
213,chichihualco,17.6833,-99.65,15.13,47,0,1.62,MX,1674552990
214,port lincoln,-34.7333,135.8667,16.78,78,0,7.18,AU,1674552991
215,quincy,42.2529,-71.0023,-0.94,88,40,7.2,US,1674552949
216,yeppoon,-23.1333,150.7333,25.88,78,0,3.24,AU,1674552992
217,meadow lake,34.8014,-106.5436,0.72,62,100,4.25,US,1674552993
218,nizhniy kuranakh,58.8353,125.4869,-31.3,99,100,1.32,RU,1674552994
219,howard springs,-12.497,131.047,28.79,97,100,4.75,AU,1674552995
220,san,13.3034,-4.8956,28.57,14,3,4.39,ML,1674552340
221,eureka,40.8021,-124.1637,3.34,74,12,2.12,US,1674552704
222,bastia,42.6667,9.3333,10.72,83,75,1.03,FR,1674552653
223,gigmoto,13.7796,124.39,24.83,89,8,5.52,PH,1674552997
224,parainen,60.3067,22.301,1.17,93,100,6.33,FI,1674552998
225,araouane,18.9048,-3.5265,24.01,11,0,4.86,ML,1674552998
226,anadyr,64.75,177.4833,-21.72,59,0,2.0,RU,1674552999
227,sitka,57.0531,-135.33,5.94,81,100,2.57,US,1674553000
228,luan,46.3592,6.9759,-0.24,79,38,1.13,CH,1674553001
229,grand-santi,4.25,-54.3833,19.49,100,55,0.84,GF,1674553001
230,torbat-e jam,35.244,60.6225,1.53,47,67,1.94,IR,1674553002
231,hilo,19.7297,-155.09,22.93,91,100,1.54,US,1674552848
232,dunda,-8.1167,34.25,20.3,86,100,0.29,TZ,1674553003
233,pakxan,18.3778,103.6601,21.76,39,5,5.97,LA,1674553004
